codigo;tipo;descricao;cidade;estado;data;ano;hora;aeronave_liberada;status_investigacao;aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_tipo;aeronave_fabricante;motor_tipo;aeronave_motor_quantidade;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_fase_operacao;aeronave_nivel_dano
77230;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;LONDRINA;PR;15/12/2017;2017;15:27:00;SIM;FINALIZADA;1;NÃO;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;2;1978;BRASIL;CIRCUITO DE TRÁFEGO;NENHUM
77239;INCIDENTE;COM PARA-BRISAS / JANELA / PORTA;PORTO ALEGRE;RS;13/12/2017;2017;17:33:00;SIM;FINALIZADA;1;NÃO;AVIÃO;MELO TRANSPORTES E LOGISTICA LTDA;PISTÃO;MONOMOTOR;4;2011;BRASIL;SUBIDA;LEVE
77244;INCIDENTE GRAVE;PERDA DE CONTROLE NO SOLO;CAMPINAS;SP;11/12/2017;2017;16:25:00;SIM;INDETERMINADA;1;NÃO;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;2;1960;BRASIL;POUSO;LEVE
77245;INCIDENTE;ESTOURO DE PNEU;SÃO PAULO;SP;10/12/2017;2017;11:52:00;SIM;FINALIZADA;1;NÃO;AVIÃO;MARCELO QUEIROZ DUARTE;PISTÃO;MONOMOTOR;4;2012;BRASIL;TÁXI;NENHUM
77247;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SÃO PAULO;SP;10/12/2017;2017;13:30:00;SIM;FINALIZADA;1;NÃO;AVIÃO;CESSNA AIRCRAFT;JATO;BIMOTOR;0;0;BRASIL;SUBIDA;NENHUM
77248;INCIDENTE GRAVE;COM TREM DE POUSO;GOIÂNIA;GO;09/12/2017;2017;09:30:00;SIM;FINALIZADA;1;NÃO;AVIÃO;PIPER AIRCRAFT;TURBOÉLICE;BIMOTOR;7;1981;BRASIL;CORRIDA APÓS POUSO;LEVE
77249;INCIDENTE GRAVE;PERDA DE CONTROLE NO SOLO;ERECHIM;RS;09/12/2017;2017;13:18:00;SIM;INDETERMINADA;1;SIM;AVIÃO;AERO BOERO;PISTÃO;MONOMOTOR;2;1988;BRASIL;CORRIDA APÓS POUSO;LEVE
77250;INCIDENTE;OUTROS;BARREIRAS;BA;09/12/2017;2017;17:30:00;SIM;FINALIZADA;1;NÃO;AVIÃO;CESSNA AIRCRAFT;JATO;BIMOTOR;8;1999;BRASIL;TÁXI;NENHUM
77251;ACIDENTE;FALHA DO MOTOR EM VOO;BAEPENDI;MG;09/12/2017;2017;11:15:00;SIM;INDETERMINADA;1;NÃO;ULTRALEVE;INDETERMINADO;PISTÃO;MONOMOTOR;2;2009;BRASIL;DECOLAGEM;DESTRUÍDA
77252;ACIDENTE;INDETERMINADO;NOVA BANDEIRANTES;MT;09/12/2017;2017;13:30:00;SIM;ATIVA;1;NÃO;ULTRALEVE;INDETERMINADO;PISTÃO;MONOMOTOR;2;2007;BRASIL;CRUZEIRO;DESTRUÍDA
77255;ACIDENTE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;SÃO FÉLIX DO XINGU;PA;08/12/2017;2017;13:30:00;SIM;ATIVA;1;NÃO;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;6;1985;BRASIL;POUSO;SUBSTANCIAL
77256;INCIDENTE;ESTOURO DE PNEU;FLORIANÓPOLIS;SC;07/12/2017;2017;16:40:00;SIM;FINALIZADA;1;NÃO;AVIÃO;PIPER AIRCRAFT;TURBOÉLICE;BIMOTOR;11;1981;BRASIL;CORRIDA APÓS POUSO;LEVE
77257;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FORTALEZA;CE;07/12/2017;2017;17:10:00;SIM;FINALIZADA;1;NÃO;AVIÃO;PIPER AIRCRAFT;PISTÃO;BIMOTOR;8;1969;BRASIL;SUBIDA;NENHUM
77258;INCIDENTE;FUMAÇA NA CABINE;BELO HORIZONTE;MG;06/12/2017;2017;17:34:00;SIM;FINALIZADA;1;NÃO;AVIÃO;EMBRAER;JATO;BIMOTOR;125;2010;BRASIL;APROXIMAÇÃO FINAL;LEVE
77259;ACIDENTE;POUSO SEM TREM;NAVEGANTES;SC;06/12/2017;2017;11:53:00;SIM;FINALIZADA;1;NÃO;AVIÃO;PIPER AIRCRAFT;TURBOÉLICE;BIMOTOR;7;1980;BRASIL;POUSO;SUBSTANCIAL
77264;ACIDENTE;POUSO BRUSCO;PIRACICABA;SP;03/12/2017;2017;15:00:00;SIM;FINALIZADA;1;NÃO;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;4;0;BRASIL;POUSO;SUBSTANCIAL
77265;ACIDENTE;FALHA DO MOTOR EM VOO;TELÊMACO BORBA;PR;03/12/2017;2017;19:25:00;NÃO;ATIVA;1;NÃO;AVIÃO;BEECH AIRCRAFT;PISTÃO;MONOMOTOR;4;1960;BRASIL;SUBIDA;SUBSTANCIAL
77267;ACIDENTE;PERDA DE CONTROLE NO SOLO;ELDORADO;MS;03/12/2017;2017;20:45:00;NÃO;ATIVA;1;SIM;AVIÃO;CIRRUS DESIGN;PISTÃO;MONOMOTOR;4;2007;BRASIL;DECOLAGEM;DESTRUÍDA
77271;ACIDENTE;COLISÃO COM FAUNA;TUCUMÃ;PA;03/12/2017;2017;11:20:00;SIM;ATIVA;1;SIM;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;1;1983;BRASIL;DECOLAGEM;SUBSTANCIAL
